ano;regiao;pop_faixas;em;acesso_esgoto;pbf;desocupados;informalidade;municipio_rural
2015;Norte;50.000-99.999;24,86;8,54;47,23;63,58;62,54;Urbano
2015;Norte;5.000-9.999;50,00;14,61;84,70;77,51;47,37;Urbano
2015;Norte;Até 4.999;35,00;13,42;80,95;84,62;66,67;Urbano
2015;Norte;10.000-24.999;28,07;4,92;70,16;88,44;59,57;Urbano
2015;Norte;Até 4.999;23,68;3,09;65,17;79,19;85,71;Rural
2015;Norte;5.000-9.999;33,33;0,93;69,40;73,04;73,21;Urbano
2015;Norte;10.000-24.999;44,07;1,68;76,34;86,36;45,16;Urbano
2015;Norte;Até 4.999;34,37;3,00;74,33;83,90;80,00;Urbano
2015;Norte;Até 4.999;32,43;1,57;83,70;93,65;40,00;Rural
2015;Norte;50.000-99.999;14,97;4,05;54,74;51,17;66,41;Urbano
2015;Norte;10.000-24.999;34,78;1,64;87,70;86,53;78,13;Rural
2015;Norte;5.000-9.999;39,47;6,47;63,43;75,16;80,00;Rural
2015;Norte;5.000-9.999;31,03;1,81;65,69;68,51;51,85;Urbano
2015;Norte;50.000-99.999;38,05;33,53;60,88;76,91;61,58;Urbano
2015;Norte;5.000-9.999;39,62;37,35;74,08;82,29;86,67;Rural
2015;Norte;Até 4.999;46,67;2,84;65,25;90,32;80,00;Urbano
2015;Norte;10.000-24.999;18,89;4,16;79,73;90,00;93,75;Rural
2015;Norte;10.000-24.999;26,47;5,21;72,56;78,23;86,44;Rural
2015;Norte;10.000-24.999;15,46;2,75;83,48;86,02;66,67;Urbano
2015;Norte;A partir de 100.000;28,23;34,30;50,06;70,44;51,78;Urbano
2015;Norte;10.000-24.999;31,97;23,74;75,47;98,21;46,15;Urbano
2015;Norte;10.000-24.999;47,54;0,78;75,54;85,92;66,67;Rural
2015;Norte;10.000-24.999;21,43;0,37;70,65;79,72;74,42;Urbano
2015;Nordeste;A partir de 100.000;27,87;5,52;67,43;78,19;66,03;Urbano
2015;Nordeste;10.000-24.999;16,84;0,32;82,96;91,27;83,33;Rural
2015;Nordeste;10.000-24.999;21,62;0,70;88,80;79,02;60,10;Rural
2015;Nordeste;10.000-24.999;24,07;0,93;84,48;84,58;72,22;Urbano
2015;Nordeste;25.000-49.999;38,38;1,26;89,27;80,62;70,21;Rural
2015;Nordeste;25.000-49.999;24,19;0,83;84,97;78,98;55,43;Rural
2015;Nordeste;25.000-49.999;18,75;0,69;89,62;86,20;91,21;Rural
2015;Nordeste;25.000-49.999;26,84;0,06;86,24;81,73;75,26;Rural
2015;Nordeste;25.000-49.999;21,82;0,57;88,58;75,85;36,43;Rural
2015;Nordeste;10.000-24.999;36,36;1,74;79,12;95,43;87,50;Rural
2015;Nordeste;A partir de 100.000;14,62;14,03;72,82;77,52;65,73;Urbano
2015;Nordeste;10.000-24.999;18,18;1,14;94,31;98,73;0,00;Rural
2015;Nordeste;10.000-24.999;30,43;2,97;86,93;82,27;31,37;Rural
2015;Nordeste;A partir de 100.000;19,73;3,06;73,80;83,04;57,72;Urbano
2015;Nordeste;10.000-24.999;41,86;0,95;83,22;99,31;0,00;Rural
2015;Nordeste;50.000-99.999;25,97;0,78;82,69;71,43;69,21;Urbano
2015;Nordeste;50.000-99.999;27,74;0,89;87,51;74,50;53,97;Rural
2015;Nordeste;10.000-24.999;16,67;6,99;88,39;97,95;100,00;Rural
2015;Nordeste;25.000-49.999;22,37;2,07;87,51;86,16;97,94;Rural
2015;Nordeste;25.000-49.999;27,93;1,21;88,81;84,20;65,26;Rural
2015;Nordeste;10.000-24.999;17,95;0,87;80,15;71,15;35,56;Rural
2015;Nordeste;25.000-49.999;35,19;2,54;94,67;70,34;98,44;Rural
2015;Nordeste;50.000-99.999;24,77;0,18;79,73;77,35;71,33;Rural
2015;Nordeste;10.000-24.999;35,71;1,82;80,03;81,82;78,95;Urbano
2015;Nordeste;10.000-24.999;16,03;0,58;88,07;81,31;92,97;Urbano
2015;Nordeste;10.000-24.999;45,45;4,42;78,22;33,77;45,10;Rural
2015;Nordeste;10.000-24.999;32,78;18,41;78,30;97,21;50,00;Urbano
2015;Nordeste;A partir de 100.000;26,50;4,47;78,32;69,43;62,16;Urbano
2015;Nordeste;50.000-99.999;27,35;0,79;84,09;86,40;58,40;Urbano
2015;Nordeste;A partir de 100.000;14,03;9,45;78,56;81,90;55,62;Urbano
2015;Nordeste;25.000-49.999;32,14;2,85;82,29;98,99;64,29;Urbano
2015;Nordeste;25.000-49.999;29,50;1,54;84,18;82,66;54,88;Urbano
2015;Nordeste;50.000-99.999;24,09;3,45;82,77;68,28;32,50;Urbano
2015;Nordeste;25.000-49.999;22,37;1,65;91,19;83,84;59,62;Urbano
2015;Nordeste;10.000-24.999;21,97;1,46;76,64;94,46;71,15;Urbano
2015;Nordeste;10.000-24.999;24,44;2,52;91,42;77,90;15,91;Rural
2015;Nordeste;10.000-24.999;17,33;3,02;87,41;83,96;52,50;Rural
2015;Nordeste;25.000-49.999;22,87;0,67;71,25;67,22;74,65;Urbano
2015;Nordeste;10.000-24.999;31,82;0,36;82,35;84,86;63,64;Urbano
2015;Nordeste;10.000-24.999;20,00;1,97;85,99;78,95;57,50;Rural
2015;Nordeste;10.000-24.999;29,41;1,49;86,45;71,14;100,00;Urbano
2015;Nordeste;10.000-24.999;33,33;4,09;78,17;93,55;100,00;Rural
2015;Nordeste;10.000-24.999;21,15;1,37;81,91;81,91;33,33;Rural
2015;Nordeste;10.000-24.999;23,38;1,13;88,71;94,48;83,08;Urbano
2015;Nordeste;50.000-99.999;29,49;3,98;84,22;72,58;85,81;Rural
2015;Nordeste;10.000-24.999;34,29;0,62;87,73;87,22;94,74;Rural
2015;Nordeste;25.000-49.999;29,04;0,95;89,02;85,45;83,68;Rural
2015;Nordeste;10.000-24.999;21,78;0,71;89,74;84,82;32,68;Rural
2015;Nordeste;10.000-24.999;14,29;4,28;74,32;59,46;23,81;Urbano
2015;Nordeste;A partir de 100.000;23,77;26,21;62,01;79,21;65,12;Urbano
2015;Nordeste;50.000-99.999;40,52;0,70;76,93;76,53;62,74;Rural
2015;Nordeste;10.000-24.999;37,54;5,06;80,13;95,27;53,33;Urbano
2015;Nordeste;10.000-24.999;31,56;14,24;86,86;94,27;84,44;Urbano
2015;Nordeste;10.000-24.999;32,69;2,06;85,80;57,67;100,00;Rural
2015;Nordeste;25.000-49.999;27,38;1,29;82,82;92,59;76,39;Urbano
2015;Nordeste;5.000-9.999;31,43;1,31;77,41;78,72;30,00;Urbano
2015;Nordeste;10.000-24.999;40,54;0,96;90,07;97,90;33,33;Rural
2015;Nordeste;10.000-24.999;20,63;2,61;79,71;91,94;71,43;Rural
2015;Nordeste;10.000-24.999;16,67;0,50;84,35;87,11;88,89;Urbano
2015;Nordeste;10.000-24.999;32,82;2,30;87,08;82,88;87,20;Rural
2015;Nordeste;25.000-49.999;15,91;0,58;92,58;55,47;2,75;Rural
2015;Nordeste;10.000-24.999;3,33;1,12;79,35;70,13;93,48;Rural
2015;Nordeste;10.000-24.999;28,57;0,70;91,05;74,80;75,81;Urbano
2015;Nordeste;25.000-49.999;24,54;1,04;89,94;91,32;95,35;Rural
2015;Nordeste;10.000-24.999;37,25;1,91;89,82;75,88;56,82;Rural
2015;Nordeste;A partir de 100.000;32,10;27,47;78,04;91,39;64,94;Urbano
2015;Nordeste;10.000-24.999;37,01;4,27;94,62;74,74;15,93;Rural
2015;Nordeste;10.000-24.999;31,95;6,05;86,20;84,50;16,79;Urbano
2015;Nordeste;10.000-24.999;13,43;0,80;86,84;56,03;89,29;Rural
2015;Nordeste;10.000-24.999;54,39;4,87;89,85;84,33;29,41;Urbano
2015;Nordeste;10.000-24.999;15,91;1,10;84,43;74,17;10,93;Rural
2015;Nordeste;25.000-49.999;29,60;8,29;79,73;78,89;81,32;Urbano
2015;Nordeste;10.000-24.999;22,13;0,28;91,23;78,16;81,88;Rural
2015;Nordeste;25.000-49.999;12,70;1,31;87,90;72,70;38,03;Rural
2015;Nordeste;25.000-49.999;31,68;1,80;82,37;90,07;85,38;Urbano
2015;Nordeste;50.000-99.999;38,07;0,44;83,58;78,60;70,78;Rural
2015;Nordeste;10.000-24.999;14,20;1,69;85,49;82,12;76,89;Rural
2015;Nordeste;10.000-24.999;32,50;3,71;92,76;98,39;100,00;Urbano
2015;Nordeste;10.000-24.999;33,76;1,90;84,87;60,35;51,65;Rural
2015;Nordeste;10.000-24.999;45,83;1,23;63,37;72,52;81,97;Urbano
2015;Nordeste;25.000-49.999;24,63;4,75;75,58;79,18;81,39;Urbano
2015;Nordeste;25.000-49.999;39,41;18,07;89,30;97,95;85,00;Urbano
2015;Nordeste;10.000-24.999;30,36;0,67;85,84;73,37;61,83;Rural
2015;Nordeste;25.000-49.999;36,68;2,23;80,52;87,95;85,31;Rural
2015;Nordeste;25.000-49.999;19,11;1,22;84,93;66,49;62,13;Rural
2015;Nordeste;50.000-99.999;36,52;4,64;72,92;77,27;73,64;Urbano
2015;Nordeste;50.000-99.999;27,07;3,28;85,83;85,95;69,35;Rural
2015;Nordeste;10.000-24.999;26,97;4,67;82,28;93,01;61,54;Rural
2015;Nordeste;10.000-24.999;25,11;0,54;95,70;92,35;21,62;Rural
2015;Nordeste;25.000-49.999;43,41;0,74;86,81;84,87;57,69;Rural
2015;Nordeste;10.000-24.999;27,03;9,04;79,13;72,16;3,92;Rural
2015;Nordeste;25.000-49.999;28,61;4,57;89,04;97,98;63,16;Rural
2015;Nordeste;25.000-49.999;18,97;5,54;87,83;85,31;83,50;Rural
2015;Nordeste;25.000-49.999;33,26;2,27;84,10;99,11;75,00;Rural
2015;Nordeste;5.000-9.999;19,23;9,22;69,94;95,19;66,67;Rural
2015;Nordeste;10.000-24.999;20,45;0,62;88,43;79,31;22,64;Rural
2015;Nordeste;10.000-24.999;46,83;1,51;88,37;97,17;71,43;Rural
2015;Nordeste;10.000-24.999;18,33;0,99;90,06;78,05;54,55;Rural
2015;Nordeste;5.000-9.999;17,95;2,70;79,38;83,21;66,67;Rural
2015;Nordeste;10.000-24.999;9,21;1,01;90,21;83,26;38,46;Rural
2015;Nordeste;25.000-49.999;31,23;4,36;79,01;79,96;77,68;Urbano
2015;Nordeste;A partir de 100.000;36,82;7,63;69,25;75,93;82,18;Rural
2015;Nordeste;5.000-9.999;12,00;5,13;78,21;97,83;0,00;Rural
2015;Nordeste;A partir de 100.000;32,30;45,93;74,69;79,58;73,64;Urbano
2015;Nordeste;25.000-49.999;33,46;0,27;85,56;81,02;72,13;Urbano
2015;Nordeste;10.000-24.999;36,67;0,99;78,43;81,40;84,78;Urbano
2015;Nordeste;5.000-9.999;24,24;4,53;91,31;97,30;100,00;Rural
2015;Nordeste;Até 4.999;13,33;2,10;89,50;87,18;0,00;Rural
2015;Nordeste;A partir de 100.000;19,35;6,25;73,30;85,63;70,52;Urbano
2015;Nordeste;10.000-24.999;33,33;4,46;80,50;72,34;44,62;Urbano
2015;Nordeste;25.000-49.999;28,96;1,20;79,91;80,44;93,67;Rural
